test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,millis_Crama’s LP,millis_LSG
rand_M58_N24_C4_id000.txt,24,58,4,54,55,0.145,0.017
rand_M592_N112_C10_id000.txt,112,592,10,570,594,2.874,0.264
rand_M600_N113_C10_id000.txt,113,600,10,541,571,3.244,0.26
rand_M608_N114_C10_id000.txt,114,608,10,549,574,3.063,0.26
rand_M616_N115_C10_id000.txt,115,616,10,593,619,3.89,0.276
rand_M624_N116_C10_id000.txt,116,624,10,630,652,3.255,0.295
rand_M62_N25_C5_id000.txt,25,62,5,64,73,0.238,0.02
rand_M632_N117_C10_id000.txt,117,632,10,548,574,2.602,0.244
rand_M640_N118_C10_id000.txt,118,640,10,698,721,4.116,0.337
rand_M649_N119_C10_id000.txt,119,649,10,679,699,3.722,0.319
rand_M657_N120_C10_id000.txt,120,657,10,631,656,3.473,0.301
rand_M665_N121_C11_id000.txt,121,665,11,637,661,3.419,0.304
rand_M66_N26_C5_id000.txt,26,66,5,59,65,0.24,0.019
rand_M673_N122_C11_id000.txt,122,673,11,675,705,4.051,0.336
rand_M682_N123_C11_id000.txt,123,682,11,710,737,4.231,0.365
rand_M690_N124_C11_id000.txt,124,690,11,686,719,4.533,0.363
rand_M698_N125_C11_id000.txt,125,698,11,788,816,4.512,0.404
rand_M707_N126_C11_id000.txt,126,707,11,752,783,4.657,0.381
rand_M70_N27_C5_id000.txt,27,70,5,65,72,0.227,0.02
rand_M715_N127_C11_id000.txt,127,715,11,696,722,3.811,0.345
rand_M724_N128_C11_id000.txt,128,724,11,754,785,4.518,0.39
rand_M732_N129_C11_id000.txt,129,732,11,767,797,4.428,0.395
rand_M741_N130_C11_id000.txt,130,741,11,713,736,4.131,0.357
rand_M749_N131_C11_id000.txt,131,749,11,756,786,3.873,0.374
rand_M74_N28_C5_id000.txt,28,74,5,95,101,0.256,0.025
rand_M758_N132_C11_id000.txt,132,758,11,776,807,4.658,0.404
rand_M766_N133_C11_id000.txt,133,766,11,808,834,4.601,0.415
rand_M775_N134_C11_id000.txt,134,775,11,787,811,4.351,0.394
rand_M784_N135_C11_id000.txt,135,784,11,780,806,4.353,0.393
rand_M78_N29_C5_id000.txt,29,78,5,75,84,0.267,0.023
rand_M793_N136_C11_id000.txt,136,793,11,763,790,4.721,0.363
rand_M801_N137_C11_id000.txt,137,801,11,805,830,4.83,0.39
rand_M810_N138_C11_id000.txt,138,810,11,776,805,5.262,0.4
rand_M819_N139_C11_id000.txt,139,819,11,810,839,5.779,0.421
rand_M828_N140_C11_id000.txt,140,828,11,840,866,5.537,0.438
rand_M82_N30_C5_id000.txt,30,82,5,65,74,0.18,0.023
rand_M837_N141_C11_id000.txt,141,837,11,823,852,5.241,0.445
rand_M846_N142_C11_id000.txt,142,846,11,882,905,6.055,0.473
rand_M855_N143_C11_id000.txt,143,855,11,865,899,6.1,0.461
rand_M864_N144_C12_id000.txt,144,864,12,797,837,5.493,0.453
rand_M86_N31_C5_id000.txt,31,86,5,84,91,0.283,0.024
rand_M873_N145_C12_id000.txt,145,873,12,855,897,5.795,0.519
rand_M882_N146_C12_id000.txt,146,882,12,864,902,6.848,0.497
rand_M891_N147_C12_id000.txt,147,891,12,908,955,5.432,0.535
rand_M900_N148_C12_id000.txt,148,900,12,985,1016,7.129,0.595
rand_M909_N149_C12_id000.txt,149,909,12,918,958,6.686,0.531
rand_M90_N32_C5_id000.txt,32,90,5,92,98,0.26,0.026
rand_M918_N150_C12_id000.txt,150,918,12,861,896,5.603,0.485
rand_M927_N151_C12_id000.txt,151,927,12,921,951,6.597,0.507
rand_M936_N152_C12_id000.txt,152,936,12,895,932,6.476,0.505
rand_M946_N153_C12_id000.txt,153,946,12,869,900,6.015,0.469
rand_M94_N33_C5_id000.txt,33,94,5,97,107,0.426,0.027
rand_M955_N154_C12_id000.txt,154,955,12,1014,1043,6.57,0.565
rand_M964_N155_C12_id000.txt,155,964,12,990,1022,6.813,0.546
rand_M974_N156_C12_id000.txt,156,974,12,980,1015,6.559,0.55
rand_M983_N157_C12_id000.txt,157,983,12,951,978,6.723,0.514
rand_M993_N158_C12_id000.txt,158,993,12,932,968,6.236,0.517
rand_M99_N34_C5_id000.txt,34,99,5,79,86,0.19,0.025
