test,N,M,C,total_cost_KTNS,total_cost_LSG,millis_KTNS,millis_LSG
rand_M5192_N476_C21_id000.txt,476,5192,21,5016,5126,19.97,4.706
rand_M51_N22_C4_id000.txt,22,51,4,53,58,0.005,0.015
rand_M5208_N477_C21_id000.txt,477,5208,21,4931,5029,20.852,4.476
rand_M5225_N478_C21_id000.txt,478,5225,21,5201,5298,20.633,4.676
rand_M522_N103_C10_id000.txt,103,522,10,545,573,0.278,0.269
rand_M5241_N479_C21_id000.txt,479,5241,21,5135,5236,22.024,5.061
rand_M5258_N480_C21_id000.txt,480,5258,21,5126,5223,20.897,4.648
rand_M5274_N481_C21_id000.txt,481,5274,21,5193,5280,21.751,4.867
rand_M5291_N482_C21_id000.txt,482,5291,21,5329,5419,24.308,5.084
rand_M5307_N483_C21_id000.txt,483,5307,21,5239,5316,22.153,4.82
rand_M530_N104_C10_id000.txt,104,530,10,557,573,0.296,0.37
rand_M5324_N484_C22_id000.txt,484,5324,22,5464,5559,23.073,5.564
rand_M5340_N485_C22_id000.txt,485,5340,22,5504,5605,22.423,5.313
rand_M5357_N486_C22_id000.txt,486,5357,22,5609,5700,24.551,5.579
rand_M5373_N487_C22_id000.txt,487,5373,22,5492,5607,22.683,5.476
rand_M537_N105_C10_id000.txt,105,537,10,524,555,0.308,0.252
rand_M5390_N488_C22_id000.txt,488,5390,22,5220,5307,22.59,5.098
rand_M5406_N489_C22_id000.txt,489,5406,22,5641,5732,24.371,5.434
rand_M5423_N490_C22_id000.txt,490,5423,22,5595,5683,23.917,5.477
rand_M5439_N491_C22_id000.txt,491,5439,22,5432,5550,27.874,5.231
rand_M5456_N492_C22_id000.txt,492,5456,22,5469,5577,23.633,5.251
rand_M545_N106_C10_id000.txt,106,545,10,580,609,0.308,0.283
rand_M5473_N493_C22_id000.txt,493,5473,22,5758,5850,25.319,5.559
rand_M5489_N494_C22_id000.txt,494,5489,22,5603,5715,23.653,5.504
rand_M5506_N495_C22_id000.txt,495,5506,22,5428,5521,23.894,5.143
rand_M5523_N496_C22_id000.txt,496,5523,22,5825,5926,27.408,5.653
rand_M5539_N497_C22_id000.txt,497,5539,22,5693,5805,25.97,5.482
rand_M553_N107_C10_id000.txt,107,553,10,607,630,0.34,0.29
rand_M5556_N498_C22_id000.txt,498,5556,22,5446,5555,26.249,5.156
rand_M5573_N499_C22_id000.txt,499,5573,22,5771,5875,33.668,5.472
rand_M5590_N500_C22_id000.txt,500,5590,22,5531,5637,32.437,6.149
rand_M55_N23_C4_id000.txt,23,55,4,54,58,0.006,0.021
rand_M5606_N501_C22_id000.txt,501,5606,22,5627,5733,34.606,5.762
rand_M561_N108_C10_id000.txt,108,561,10,567,588,1.047,0.257
rand_M5623_N502_C22_id000.txt,502,5623,22,5859,5950,34.744,5.845
rand_M5640_N503_C22_id000.txt,503,5640,22,5593,5688,26.48,5.426
rand_M5657_N504_C22_id000.txt,504,5657,22,5946,6048,27.059,5.831
rand_M5674_N505_C22_id000.txt,505,5674,22,5467,5583,30.203,5.098
rand_M568_N109_C10_id000.txt,109,568,10,545,577,0.396,0.258
rand_M5691_N506_C22_id000.txt,506,5691,22,6016,6108,30.15,5.787
rand_M5707_N507_C22_id000.txt,507,5707,22,5749,5855,29.16,5.445
rand_M5724_N508_C22_id000.txt,508,5724,22,5719,5817,27.162,5.456
rand_M5741_N509_C22_id000.txt,509,5741,22,5529,5628,25.708,5.213
rand_M5758_N510_C22_id000.txt,510,5758,22,5782,5902,27.252,5.518
rand_M576_N110_C10_id000.txt,110,576,10,595,621,0.328,0.304
rand_M584_N111_C10_id000.txt,111,584,10,562,583,0.333,0.266
rand_M58_N24_C4_id000.txt,24,58,4,54,55,0.006,0.017
rand_M592_N112_C10_id000.txt,112,592,10,570,594,0.33,0.264
rand_M600_N113_C10_id000.txt,113,600,10,541,571,0.321,0.26
rand_M608_N114_C10_id000.txt,114,608,10,549,574,0.334,0.26
rand_M616_N115_C10_id000.txt,115,616,10,593,619,0.348,0.276
rand_M624_N116_C10_id000.txt,116,624,10,630,652,0.371,0.295
rand_M62_N25_C5_id000.txt,25,62,5,64,73,0.007,0.02
rand_M632_N117_C10_id000.txt,117,632,10,548,574,0.344,0.244
rand_M640_N118_C10_id000.txt,118,640,10,698,721,0.406,0.337
rand_M649_N119_C10_id000.txt,119,649,10,679,699,0.4,0.319
rand_M657_N120_C10_id000.txt,120,657,10,631,656,0.388,0.301
rand_M665_N121_C11_id000.txt,121,665,11,637,661,0.403,0.304
rand_M66_N26_C5_id000.txt,26,66,5,59,65,0.008,0.019
rand_M673_N122_C11_id000.txt,122,673,11,675,705,0.424,0.336
rand_M682_N123_C11_id000.txt,123,682,11,710,737,0.447,0.365
rand_M690_N124_C11_id000.txt,124,690,11,686,719,0.439,0.363
rand_M698_N125_C11_id000.txt,125,698,11,788,816,0.546,0.404
rand_M707_N126_C11_id000.txt,126,707,11,752,783,0.537,0.381
rand_M70_N27_C5_id000.txt,27,70,5,65,72,0.009,0.02
rand_M715_N127_C11_id000.txt,127,715,11,696,722,0.528,0.345
rand_M724_N128_C11_id000.txt,128,724,11,754,785,0.559,0.39
rand_M732_N129_C11_id000.txt,129,732,11,767,797,0.504,0.395
rand_M741_N130_C11_id000.txt,130,741,11,713,736,0.489,0.357
rand_M749_N131_C11_id000.txt,131,749,11,756,786,0.505,0.374
rand_M74_N28_C5_id000.txt,28,74,5,95,101,0.011,0.025
rand_M758_N132_C11_id000.txt,132,758,11,776,807,0.524,0.404
rand_M766_N133_C11_id000.txt,133,766,11,808,834,0.562,0.415
rand_M775_N134_C11_id000.txt,134,775,11,787,811,0.557,0.394
rand_M784_N135_C11_id000.txt,135,784,11,780,806,0.554,0.393
rand_M78_N29_C5_id000.txt,29,78,5,75,84,0.012,0.023
rand_M793_N136_C11_id000.txt,136,793,11,763,790,0.559,0.363
rand_M801_N137_C11_id000.txt,137,801,11,805,830,0.588,0.39
rand_M810_N138_C11_id000.txt,138,810,11,776,805,0.587,0.4
rand_M819_N139_C11_id000.txt,139,819,11,810,839,0.608,0.421
rand_M828_N140_C11_id000.txt,140,828,11,840,866,0.634,0.438
rand_M82_N30_C5_id000.txt,30,82,5,65,74,0.011,0.023
rand_M837_N141_C11_id000.txt,141,837,11,823,852,0.631,0.445
rand_M846_N142_C11_id000.txt,142,846,11,882,905,0.652,0.473
rand_M855_N143_C11_id000.txt,143,855,11,865,899,0.64,0.461
rand_M864_N144_C12_id000.txt,144,864,12,797,837,0.607,0.453
rand_M86_N31_C5_id000.txt,31,86,5,84,91,0.012,0.024
rand_M873_N145_C12_id000.txt,145,873,12,855,897,0.636,0.519
rand_M882_N146_C12_id000.txt,146,882,12,864,902,0.651,0.497
rand_M891_N147_C12_id000.txt,147,891,12,908,955,0.68,0.535
rand_M900_N148_C12_id000.txt,148,900,12,985,1016,0.731,0.595
rand_M909_N149_C12_id000.txt,149,909,12,918,958,0.707,0.531
rand_M90_N32_C5_id000.txt,32,90,5,92,98,0.015,0.026
rand_M918_N150_C12_id000.txt,150,918,12,861,896,0.755,0.485
rand_M927_N151_C12_id000.txt,151,927,12,921,951,0.913,0.507
rand_M936_N152_C12_id000.txt,152,936,12,895,932,0.81,0.505
rand_M946_N153_C12_id000.txt,153,946,12,869,900,0.785,0.469
rand_M94_N33_C5_id000.txt,33,94,5,97,107,0.017,0.027
rand_M955_N154_C12_id000.txt,154,955,12,1014,1043,0.862,0.565
rand_M964_N155_C12_id000.txt,155,964,12,990,1022,0.859,0.546
rand_M974_N156_C12_id000.txt,156,974,12,980,1015,0.831,0.55
rand_M983_N157_C12_id000.txt,157,983,12,951,978,0.908,0.514
rand_M993_N158_C12_id000.txt,158,993,12,932,968,0.911,0.517
rand_M99_N34_C5_id000.txt,34,99,5,79,86,0.015,0.025
