test,N,M,C,total_cost_LSG,total_cost_Privault-Finke,millis_LSG,millis_Privault-Finke,,
rand_M4473_N431_C20_id000.txt,431,4473,20,4582,4498,4.574,5617.697,,
rand_M4489_N432_C20_id000.txt,432,4489,20,4459,4376,4.092,4605.171,,
rand_M448_N93_C9_id000.txt,93,448,9,431,410,0.247,21.055,,
rand_M44_N20_C4_id000.txt,20,44,4,33,29,0.023,0.171,,
rand_M4505_N433_C20_id000.txt,433,4505,20,4405,4326,4.203,4451.514,,
rand_M4520_N434_C20_id000.txt,434,4520,20,4542,4458,4.575,4711.481,,
rand_M4536_N435_C20_id000.txt,435,4536,20,4649,4566,4.264,4726.414,,
rand_M4551_N436_C20_id000.txt,436,4551,20,4614,4524,4.266,4672.857,,
rand_M455_N94_C9_id000.txt,94,455,9,444,426,0.247,23.328,,
rand_M4567_N437_C20_id000.txt,437,4567,20,4683,4594,4.542,4819.971,,
rand_M4583_N438_C20_id000.txt,438,4583,20,4477,4375,4.46,4460.346,,
rand_M4599_N439_C20_id000.txt,439,4599,20,4405,4317,4.353,4293.602,,
rand_M4614_N440_C20_id000.txt,440,4614,20,4776,4705,4.519,6035.444,,
rand_M462_N95_C9_id000.txt,95,462,9,463,444,0.257,22.31,,
rand_M4630_N441_C21_id000.txt,441,4630,21,4800,4696,5.062,5260.222,,
rand_M4646_N442_C21_id000.txt,442,4646,21,4627,4539,4.763,5250.582,,
rand_M4662_N443_C21_id000.txt,443,4662,21,4465,4366,4.0,4871.853,,
rand_M4677_N444_C21_id000.txt,444,4677,21,4833,4742,4.506,9743.221,,
rand_M4693_N445_C21_id000.txt,445,4693,21,4791,4687,4.437,8723.935,,
rand_M4709_N446_C21_id000.txt,446,4709,21,4891,4796,4.617,10026.175,,
rand_M470_N96_C9_id000.txt,96,470,9,475,461,0.248,40.173,,
rand_M4725_N447_C21_id000.txt,447,4725,21,5021,4937,4.735,10802.445,,
rand_M4741_N448_C21_id000.txt,448,4741,21,5001,4935,4.911,8576.573,,
rand_M4757_N449_C21_id000.txt,449,4757,21,4822,4721,4.375,5243.351,,
rand_M4772_N450_C21_id000.txt,450,4772,21,4927,4835,4.613,5857.204,,
rand_M477_N97_C9_id000.txt,97,477,9,461,442,0.246,22.886,,
rand_M4788_N451_C21_id000.txt,451,4788,21,4900,4816,4.552,6071.958,,
rand_M4804_N452_C21_id000.txt,452,4804,21,4872,4785,4.464,6306.829,,
rand_M4820_N453_C21_id000.txt,453,4820,21,5179,5084,4.988,6678.424,,
rand_M4836_N454_C21_id000.txt,454,4836,21,4990,4911,4.515,5746.007,,
rand_M4852_N455_C21_id000.txt,455,4852,21,4946,4872,4.466,5558.617,,
rand_M485_N98_C9_id000.txt,98,485,9,493,473,0.256,25.163,,
rand_M4868_N456_C21_id000.txt,456,4868,21,5043,4953,4.994,5789.651,,
rand_M4884_N457_C21_id000.txt,457,4884,21,5060,4968,4.821,6044.309,,
rand_M48_N21_C4_id000.txt,21,48,4,56,54,0.039,0.469,,
rand_M4900_N458_C21_id000.txt,458,4900,21,5168,5084,5.417,6428.877,,
rand_M4916_N459_C21_id000.txt,459,4916,21,4928,4836,4.678,5906.145,,
rand_M492_N99_C9_id000.txt,99,492,9,512,492,0.281,32.095,,
rand_M4932_N460_C21_id000.txt,460,4932,21,5006,4929,5.142,6200.705,,
rand_M4949_N461_C21_id000.txt,461,4949,21,5136,5039,5.087,6963.583,,
rand_M4965_N462_C21_id000.txt,462,4965,21,5238,5157,5.026,6448.012,,
rand_M4981_N463_C21_id000.txt,463,4981,21,5008,4915,5.029,6038.641,,
rand_M4997_N464_C21_id000.txt,464,4997,21,5067,4963,4.885,6318.095,,
rand_M500_N100_C10_id000.txt,100,500,10,555,536,0.323,39.519,,
rand_M5013_N465_C21_id000.txt,465,5013,21,5148,5043,4.807,6244.568,,
rand_M5029_N466_C21_id000.txt,466,5029,21,5185,5115,5.341,8347.186,,
rand_M5045_N467_C21_id000.txt,467,5045,21,5261,5181,5.162,6684.081,,
rand_M5062_N468_C21_id000.txt,468,5062,21,5152,5060,4.821,6187.229,,
rand_M5078_N469_C21_id000.txt,469,5078,21,4997,4898,5.004,5845.971,,
rand_M507_N101_C10_id000.txt,101,507,10,528,505,0.315,34.595,,
rand_M5094_N470_C21_id000.txt,470,5094,21,5418,5326,5.475,7619.192,,
rand_M5110_N471_C21_id000.txt,471,5110,21,4938,4833,4.784,5648.707,,
rand_M5127_N472_C21_id000.txt,472,5127,21,5277,5171,4.995,6533.097,,
rand_M5143_N473_C21_id000.txt,473,5143,21,5320,5222,4.885,7339.116,,
rand_M5159_N474_C21_id000.txt,474,5159,21,5069,4988,4.805,6776.7,,
rand_M515_N102_C10_id000.txt,102,515,10,499,464,0.285,27.73,,
rand_M5176_N475_C21_id000.txt,475,5176,21,5072,4957,4.623,6287.108,,
rand_M5192_N476_C21_id000.txt,476,5192,21,5207,5123,4.978,6692.39,,
rand_M51_N22_C4_id000.txt,22,51,4,56,51,0.039,0.433,,
rand_M5208_N477_C21_id000.txt,477,5208,21,5315,5211,4.797,10791.148,,
rand_M5225_N478_C21_id000.txt,478,5225,21,5288,5202,4.881,7357.919,,
rand_M522_N103_C10_id000.txt,103,522,10,623,598,0.351,47.845,,
rand_M5241_N479_C21_id000.txt,479,5241,21,5231,5141,4.712,6306.843,,
rand_M5258_N480_C21_id000.txt,480,5258,21,4945,4862,4.438,5231.11,,
rand_M5274_N481_C21_id000.txt,481,5274,21,5376,5290,4.993,6267.045,,
rand_M5291_N482_C21_id000.txt,482,5291,21,5273,5184,4.668,6063.489,,
rand_M5307_N483_C21_id000.txt,483,5307,21,5300,5208,4.82,6127.207,,
rand_M530_N104_C10_id000.txt,104,530,10,572,545,0.328,39.578,,
rand_M5324_N484_C22_id000.txt,484,5324,22,5481,5369,5.271,6846.299,,
rand_M5340_N485_C22_id000.txt,485,5340,22,5513,5411,5.38,6866.688,,
rand_M5357_N486_C22_id000.txt,486,5357,22,5482,5382,5.34,6808.338,,
rand_M5373_N487_C22_id000.txt,487,5373,22,5794,5692,5.936,13381.22,,
rand_M537_N105_C10_id000.txt,105,537,10,544,520,0.321,37.667,,
rand_M5390_N488_C22_id000.txt,488,5390,22,5775,5664,6.063,8324.225,,
rand_M5406_N489_C22_id000.txt,489,5406,22,5512,5415,5.478,8148.148,,
rand_M5423_N490_C22_id000.txt,490,5423,22,5864,5758,6.301,11776.804,,
rand_M5439_N491_C22_id000.txt,491,5439,22,5588,5474,5.433,7489.057,,
rand_M5456_N492_C22_id000.txt,492,5456,22,5628,5516,5.79,8441.368,,
rand_M545_N106_C10_id000.txt,106,545,10,575,550,0.335,38.92,,
rand_M5473_N493_C22_id000.txt,493,5473,22,5877,5786,6.279,10776.674,,
rand_M5489_N494_C22_id000.txt,494,5489,22,5634,5540,5.846,11051.703,,
rand_M5506_N495_C22_id000.txt,495,5506,22,5583,5469,5.49,8037.372,,
rand_M5523_N496_C22_id000.txt,496,5523,22,5962,5859,6.173,13617.887,,
rand_M5539_N497_C22_id000.txt,497,5539,22,5430,5322,5.568,7048.173,,
rand_M553_N107_C10_id000.txt,107,553,10,556,532,0.326,35.523,,
rand_M5556_N498_C22_id000.txt,498,5556,22,5759,5632,5.903,11682.539,,
rand_M5573_N499_C22_id000.txt,499,5573,22,5765,5679,6.116,8655.157,,
rand_M5590_N500_C22_id000.txt,500,5590,22,5721,5617,5.63,9798.842,,
rand_M55_N23_C4_id000.txt,23,55,4,56,51,0.037,0.46,,
rand_M5606_N501_C22_id000.txt,501,5606,22,5753,5647,6.122,8359.024,,
rand_M561_N108_C10_id000.txt,108,561,10,659,639,0.391,55.622,,
rand_M5623_N502_C22_id000.txt,502,5623,22,5475,5359,5.467,7628.26,,
rand_M5640_N503_C22_id000.txt,503,5640,22,5702,5615,5.291,9303.727,,
rand_M5657_N504_C22_id000.txt,504,5657,22,5844,5742,5.459,8606.814,,
rand_M5674_N505_C22_id000.txt,505,5674,22,5899,5787,5.694,10825.08,,
rand_M568_N109_C10_id000.txt,109,568,10,592,567,0.331,44.211,,
rand_M5691_N506_C22_id000.txt,506,5691,22,5906,5795,5.622,9409.609,,
rand_M5707_N507_C22_id000.txt,507,5707,22,5674,5571,5.658,16820.874,,
rand_M5724_N508_C22_id000.txt,508,5724,22,6011,5912,5.852,16536.166,,
rand_M5741_N509_C22_id000.txt,509,5741,22,5660,5550,5.304,8786.142,,
rand_M5758_N510_C22_id000.txt,510,5758,22,5759,5649,5.405,9751.566,,
rand_M576_N110_C10_id000.txt,110,576,10,570,536,0.316,39.528,,
rand_M584_N111_C10_id000.txt,111,584,10,592,569,0.322,40.82,,
rand_M58_N24_C4_id000.txt,24,58,4,55,51,0.028,0.39,,
rand_M592_N112_C10_id000.txt,112,592,10,568,537,0.317,37.464,,
rand_M600_N113_C10_id000.txt,113,600,10,626,596,0.339,51.561,,
rand_M608_N114_C10_id000.txt,114,608,10,662,631,0.367,66.215,,
rand_M616_N115_C10_id000.txt,115,616,10,573,546,0.297,45.89,,
rand_M624_N116_C10_id000.txt,116,624,10,605,571,0.321,54.373,,
rand_M62_N25_C5_id000.txt,25,62,5,72,64,0.036,0.776,,
rand_M632_N117_C10_id000.txt,117,632,10,670,646,0.361,63.939,,
rand_M640_N118_C10_id000.txt,118,640,10,595,566,0.322,44.304,,
rand_M649_N119_C10_id000.txt,119,649,10,640,614,0.341,58.483,,
rand_M657_N120_C10_id000.txt,120,657,10,619,601,0.34,54.323,,
rand_M665_N121_C11_id000.txt,121,665,11,759,727,0.429,80.901,,
rand_M66_N26_C5_id000.txt,26,66,5,68,61,0.036,0.573,,
rand_M673_N122_C11_id000.txt,122,673,11,711,680,0.407,92.73,,
rand_M682_N123_C11_id000.txt,123,682,11,740,708,0.424,91.286,,
rand_M690_N124_C11_id000.txt,124,690,11,639,613,0.358,63.221,,
rand_M698_N125_C11_id000.txt,125,698,11,763,737,0.434,86.234,,
rand_M707_N126_C11_id000.txt,126,707,11,707,674,0.391,69.406,,
rand_M70_N27_C5_id000.txt,27,70,5,85,79,0.043,0.917,,
rand_M715_N127_C11_id000.txt,127,715,11,759,728,0.426,78.726,,
rand_M724_N128_C11_id000.txt,128,724,11,706,673,0.395,68.957,,
rand_M732_N129_C11_id000.txt,129,732,11,714,688,0.407,75.544,,
rand_M741_N130_C11_id000.txt,130,741,11,794,753,0.464,85.696,,
rand_M749_N131_C11_id000.txt,131,749,11,772,749,0.424,82.377,,
rand_M74_N28_C5_id000.txt,28,74,5,78,69,0.04,1.22,,
rand_M758_N132_C11_id000.txt,132,758,11,773,745,0.431,81.594,,
rand_M766_N133_C11_id000.txt,133,766,11,850,821,0.489,95.953,,
rand_M775_N134_C11_id000.txt,134,775,11,841,806,0.467,101.831,,
rand_M784_N135_C11_id000.txt,135,784,11,775,746,0.428,84.659,,
rand_M78_N29_C5_id000.txt,29,78,5,91,87,0.046,0.821,,
rand_M793_N136_C11_id000.txt,136,793,11,777,752,0.456,84.54,,
rand_M801_N137_C11_id000.txt,137,801,11,811,782,0.445,93.899,,
rand_M810_N138_C11_id000.txt,138,810,11,801,765,0.438,103.334,,
rand_M819_N139_C11_id000.txt,139,819,11,832,803,0.455,101.836,,
rand_M828_N140_C11_id000.txt,140,828,11,829,805,0.477,97.025,,
rand_M82_N30_C5_id000.txt,30,82,5,83,78,0.043,1.31,,
rand_M837_N141_C11_id000.txt,141,837,11,786,762,0.442,83.553,,
rand_M846_N142_C11_id000.txt,142,846,11,917,897,0.507,131.978,,
rand_M855_N143_C11_id000.txt,143,855,11,821,799,0.461,91.835,,
rand_M864_N144_C12_id000.txt,144,864,12,894,864,0.52,116.942,,
rand_M86_N31_C5_id000.txt,31,86,5,97,92,0.047,1.033,,
rand_M873_N145_C12_id000.txt,145,873,12,953,927,0.584,130.111,,
rand_M882_N146_C12_id000.txt,146,882,12,941,901,0.563,126.641,,
rand_M891_N147_C12_id000.txt,147,891,12,913,874,0.544,116.379,,
rand_M900_N148_C12_id000.txt,148,900,12,952,920,0.562,175.533,,
rand_M909_N149_C12_id000.txt,149,909,12,1023,987,0.612,156.476,,
rand_M90_N32_C5_id000.txt,32,90,5,97,87,0.057,1.812,,
rand_M918_N150_C12_id000.txt,150,918,12,992,959,0.631,178.734,,
rand_M927_N151_C12_id000.txt,151,927,12,991,953,0.587,138.963,,
rand_M936_N152_C12_id000.txt,152,936,12,998,970,0.611,145.655,,
rand_M946_N153_C12_id000.txt,153,946,12,1044,1013,0.644,172.225,,
rand_M94_N33_C5_id000.txt,33,94,5,95,88,0.053,1.127,,
rand_M955_N154_C12_id000.txt,154,955,12,1025,985,0.65,157.95,,
rand_M964_N155_C12_id000.txt,155,964,12,981,950,0.6,141.509,,
rand_M974_N156_C12_id000.txt,156,974,12,1063,1036,0.659,185.835,,
rand_M983_N157_C12_id000.txt,157,983,12,1041,1000,0.633,155.742,,
rand_M993_N158_C12_id000.txt,158,993,12,1023,985,0.612,154.712,,
rand_M99_N34_C5_id000.txt,34,99,5,95,84,0.052,0.933,,
