algorithm,test,N,M,C,total_cost,millis
Crama's LP,from_1datA1_M10_N10_C5.txt,10,10,5,36,0.182
Crama's LP,from_1datA2_M10_N10_C5.txt,10,10,5,37,0.227
Crama's LP,from_1datA3_M10_N10_C5.txt,10,10,5,29,0.230
