algorithm,test,N,M,C,total_cost,millis
,from_1datA1_M10_N10_C5.txt,10,10,5,36,2.477
,from_1datA2_M10_N10_C5.txt,10,10,5,37,0.349
,from_1datA3_M10_N10_C5.txt,10,10,5,29,0.341
