builder,test,N,M,C,total_cost,millis
PF,from_datA10_M10_N10_C5.txt,10,10,5,40,1.708
PF,from_datA1_M10_N10_C5.txt,10,10,5,62,1.902
PF,from_datA2_M10_N10_C5.txt,10,10,5,34,1.233
PF,from_datA3_M10_N10_C5.txt,10,10,5,39,1.323
PF,from_datA4_M10_N10_C5.txt,10,10,5,41,1.422
PF,from_datA5_M10_N10_C5.txt,10,10,5,35,1.583
PF,from_datA6_M10_N10_C5.txt,10,10,5,46,1.552
PF,from_datA7_M10_N10_C5.txt,10,10,5,34,1.283
PF,from_datA8_M10_N10_C5.txt,10,10,5,40,1.461
PF,from_datA9_M10_N10_C5.txt,10,10,5,40,1.788
PF,from_datB10_M15_N20_C8.txt,20,15,8,97,6.928
PF,from_datB1_M15_N20_C8.txt,20,15,8,46,4.867
PF,from_datB2_M15_N20_C8.txt,20,15,8,72,8.353
PF,from_datB3_M15_N20_C8.txt,20,15,8,63,7.431
PF,from_datB4_M15_N20_C8.txt,20,15,8,63,6.312
PF,from_datB5_M15_N20_C8.txt,20,15,8,54,6.568
PF,from_datB6_M15_N20_C8.txt,20,15,8,79,7.833
PF,from_datB7_M15_N20_C8.txt,20,15,8,66,4.805
PF,from_datB8_M15_N20_C8.txt,20,15,8,65,7.740
PF,from_datB9_M15_N20_C8.txt,20,15,8,59,6.044
PF,from_datC10_M30_N40_C17.txt,40,30,17,229,143.047
PF,from_datC1_M30_N40_C17.txt,40,30,17,260,170.928
PF,from_datC2_M30_N40_C17.txt,40,30,17,222,183.718
PF,from_datC3_M30_N40_C17.txt,40,30,17,259,147.860
PF,from_datC4_M30_N40_C17.txt,40,30,17,215,156.705
PF,from_datC5_M30_N40_C17.txt,40,30,17,221,141.220
PF,from_datC6_M30_N40_C17.txt,40,30,17,228,169.623
PF,from_datC7_M30_N40_C17.txt,40,30,17,185,146.659
PF,from_datC8_M30_N40_C17.txt,40,30,17,180,137.608
PF,from_datC9_M30_N40_C17.txt,40,30,17,205,145.681
PF,from_datD10_M40_N60_C22.txt,60,40,22,350,616.013
PF,from_datD1_M40_N60_C22.txt,60,40,22,410,634.063
PF,from_datD2_M40_N60_C22.txt,60,40,22,309,458.462
PF,from_datD3_M40_N60_C22.txt,60,40,22,338,537.855
PF,from_datD4_M40_N60_C22.txt,60,40,22,366,562.977
PF,from_datD5_M40_N60_C22.txt,60,40,22,361,534.358
PF,from_datD6_M40_N60_C22.txt,60,40,22,430,676.411
PF,from_datD7_M40_N60_C22.txt,60,40,22,283,570.922
PF,from_datD8_M40_N60_C22.txt,60,40,22,310,516.379
PF,from_datD9_M40_N60_C22.txt,60,40,22,349,609.692
