builder,test,N,M,C,total_cost,millis
LC,from_datA10_M10_N10_C5.txt,10,10,5,40,0.924
LC,from_datA1_M10_N10_C5.txt,10,10,5,62,0.529
LC,from_datA2_M10_N10_C5.txt,10,10,5,34,0.431
LC,from_datA3_M10_N10_C5.txt,10,10,5,39,0.453
LC,from_datA4_M10_N10_C5.txt,10,10,5,41,0.467
LC,from_datA5_M10_N10_C5.txt,10,10,5,35,0.533
LC,from_datA6_M10_N10_C5.txt,10,10,5,46,0.510
LC,from_datA7_M10_N10_C5.txt,10,10,5,34,0.438
LC,from_datA8_M10_N10_C5.txt,10,10,5,40,0.446
LC,from_datA9_M10_N10_C5.txt,10,10,5,40,0.556
LC,from_datB10_M15_N20_C8.txt,20,15,8,97,1.403
LC,from_datB1_M15_N20_C8.txt,20,15,8,46,1.129
LC,from_datB2_M15_N20_C8.txt,20,15,8,72,1.540
LC,from_datB3_M15_N20_C8.txt,20,15,8,63,1.451
LC,from_datB4_M15_N20_C8.txt,20,15,8,63,1.197
LC,from_datB5_M15_N20_C8.txt,20,15,8,54,1.294
LC,from_datB6_M15_N20_C8.txt,20,15,8,79,1.473
LC,from_datB7_M15_N20_C8.txt,20,15,8,66,1.136
LC,from_datB8_M15_N20_C8.txt,20,15,8,65,1.422
LC,from_datB9_M15_N20_C8.txt,20,15,8,59,1.259
LC,from_datC10_M30_N40_C17.txt,40,30,17,229,10.211
LC,from_datC1_M30_N40_C17.txt,40,30,17,260,11.567
LC,from_datC2_M30_N40_C17.txt,40,30,17,222,11.885
LC,from_datC3_M30_N40_C17.txt,40,30,17,259,10.686
LC,from_datC4_M30_N40_C17.txt,40,30,17,215,11.456
LC,from_datC5_M30_N40_C17.txt,40,30,17,221,10.941
LC,from_datC6_M30_N40_C17.txt,40,30,17,228,11.619
LC,from_datC7_M30_N40_C17.txt,40,30,17,185,11.227
LC,from_datC8_M30_N40_C17.txt,40,30,17,180,10.951
LC,from_datC9_M30_N40_C17.txt,40,30,17,205,11.066
LC,from_datD10_M40_N60_C22.txt,60,40,22,350,27.579
LC,from_datD1_M40_N60_C22.txt,60,40,22,410,27.327
LC,from_datD2_M40_N60_C22.txt,60,40,22,309,23.143
LC,from_datD3_M40_N60_C22.txt,60,40,22,338,26.586
LC,from_datD4_M40_N60_C22.txt,60,40,22,366,27.360
LC,from_datD5_M40_N60_C22.txt,60,40,22,361,25.321
LC,from_datD6_M40_N60_C22.txt,60,40,22,430,27.648
LC,from_datD7_M40_N60_C22.txt,60,40,22,283,26.067
LC,from_datD8_M40_N60_C22.txt,60,40,22,310,24.145
LC,from_datD9_M40_N60_C22.txt,60,40,22,349,26.837
