test,N,M,C,total_cost_original,total_cost_our,millis_original,millis_our
from_datA10_M10_N10_C5.txt,10,10,5,40,40,1.708,0.924
from_datA1_M10_N10_C5.txt,10,10,5,62,62,1.902,0.529
from_datA2_M10_N10_C5.txt,10,10,5,34,34,1.233,0.431
from_datA3_M10_N10_C5.txt,10,10,5,39,39,1.323,0.453
from_datA4_M10_N10_C5.txt,10,10,5,41,41,1.422,0.467
from_datA5_M10_N10_C5.txt,10,10,5,35,35,1.583,0.533
from_datA6_M10_N10_C5.txt,10,10,5,46,46,1.552,0.51
from_datA7_M10_N10_C5.txt,10,10,5,34,34,1.283,0.438
from_datA8_M10_N10_C5.txt,10,10,5,40,40,1.461,0.446
from_datA9_M10_N10_C5.txt,10,10,5,40,40,1.788,0.556
from_datB10_M15_N20_C8.txt,20,15,8,97,97,6.928,1.403
from_datB1_M15_N20_C8.txt,20,15,8,46,46,4.867,1.129
from_datB2_M15_N20_C8.txt,20,15,8,72,72,8.353,1.54
from_datB3_M15_N20_C8.txt,20,15,8,63,63,7.431,1.451
from_datB4_M15_N20_C8.txt,20,15,8,63,63,6.312,1.197
from_datB5_M15_N20_C8.txt,20,15,8,54,54,6.568,1.294
from_datB6_M15_N20_C8.txt,20,15,8,79,79,7.833,1.473
from_datB7_M15_N20_C8.txt,20,15,8,66,66,4.805,1.136
from_datB8_M15_N20_C8.txt,20,15,8,65,65,7.74,1.422
from_datB9_M15_N20_C8.txt,20,15,8,59,59,6.044,1.259
from_datC10_M30_N40_C17.txt,40,30,17,229,229,143.047,10.211
from_datC1_M30_N40_C17.txt,40,30,17,260,260,170.928,11.567
from_datC2_M30_N40_C17.txt,40,30,17,222,222,183.718,11.885
from_datC3_M30_N40_C17.txt,40,30,17,259,259,147.86,10.686
from_datC4_M30_N40_C17.txt,40,30,17,215,215,156.705,11.456
from_datC5_M30_N40_C17.txt,40,30,17,221,221,141.22,10.941
from_datC6_M30_N40_C17.txt,40,30,17,228,228,169.623,11.619
from_datC7_M30_N40_C17.txt,40,30,17,185,185,146.659,11.227
from_datC8_M30_N40_C17.txt,40,30,17,180,180,137.608,10.951
from_datC9_M30_N40_C17.txt,40,30,17,205,205,145.681,11.066
from_datD10_M40_N60_C22.txt,60,40,22,350,350,616.013,27.579
from_datD1_M40_N60_C22.txt,60,40,22,410,410,634.063,27.327
from_datD2_M40_N60_C22.txt,60,40,22,309,309,458.462,23.143
from_datD3_M40_N60_C22.txt,60,40,22,338,338,537.855,26.586
from_datD4_M40_N60_C22.txt,60,40,22,366,366,562.977,27.36
from_datD5_M40_N60_C22.txt,60,40,22,361,361,534.358,25.321
from_datD6_M40_N60_C22.txt,60,40,22,430,430,676.411,27.648
from_datD7_M40_N60_C22.txt,60,40,22,283,283,570.922,26.067
from_datD8_M40_N60_C22.txt,60,40,22,310,310,516.379,24.145
from_datD9_M40_N60_C22.txt,60,40,22,349,349,609.692,26.837
