test,N,M,C,total_cost_original,total_cost_our,millis_original,millis_our
from_datA10_M10_N10_C7.txt,10,10,7,32,32,1.792,0.602
from_datA1_M10_N10_C7.txt,10,10,7,40,40,2.087,0.632
from_datA2_M10_N10_C7.txt,10,10,7,29,29,1.481,0.505
from_datA3_M10_N10_C7.txt,10,10,7,29,29,1.53,0.537
from_datA4_M10_N10_C7.txt,10,10,7,31,31,1.678,0.555
from_datA5_M10_N10_C7.txt,10,10,7,29,29,1.877,0.63
from_datA6_M10_N10_C7.txt,10,10,7,36,36,1.821,0.596
from_datA7_M10_N10_C7.txt,10,10,7,30,30,1.527,0.514
from_datA8_M10_N10_C7.txt,10,10,7,32,32,1.491,0.524
from_datA9_M10_N10_C7.txt,10,10,7,29,29,2.069,0.639
from_datB10_M15_N20_C12.txt,20,15,12,63,63,8.075,1.788
from_datB1_M15_N20_C12.txt,20,15,12,36,36,5.898,1.446
from_datB2_M15_N20_C12.txt,20,15,12,45,45,9.278,1.959
from_datB3_M15_N20_C12.txt,20,15,12,47,47,8.101,1.853
from_datB4_M15_N20_C12.txt,20,15,12,49,49,6.556,1.532
from_datB5_M15_N20_C12.txt,20,15,12,42,42,7.143,1.642
from_datB6_M15_N20_C12.txt,20,15,12,54,54,8.78,1.846
from_datB7_M15_N20_C12.txt,20,15,12,45,45,5.799,1.451
from_datB8_M15_N20_C12.txt,20,15,12,45,45,8.56,1.792
from_datB9_M15_N20_C12.txt,20,15,12,44,44,6.701,1.603
from_datC10_M30_N40_C25.txt,40,30,25,120,120,161.823,13.572
from_datC1_M30_N40_C25.txt,40,30,25,130,130,196.319,15.247
from_datC2_M30_N40_C25.txt,40,30,25,103,103,203.577,15.684
from_datC3_M30_N40_C25.txt,40,30,25,134,134,164.602,14.154
from_datC4_M30_N40_C25.txt,40,30,25,105,105,183.986,15.088
from_datC5_M30_N40_C25.txt,40,30,25,112,112,167.404,14.586
from_datC6_M30_N40_C25.txt,40,30,25,106,106,200.031,15.249
from_datC7_M30_N40_C25.txt,40,30,25,100,100,172.84,14.671
from_datC8_M30_N40_C25.txt,40,30,25,100,100,162.59,14.24
from_datC9_M30_N40_C25.txt,40,30,25,103,103,172.341,14.632
from_datD10_M40_N60_C30.txt,60,40,30,190,190,711.414,35.015
from_datD1_M40_N60_C30.txt,60,40,30,212,212,695.597,34.273
from_datD2_M40_N60_C30.txt,60,40,30,174,174,515.766,29.628
from_datD3_M40_N60_C30.txt,60,40,30,189,189,624.053,32.619
from_datD4_M40_N60_C30.txt,60,40,30,198,198,646.277,33.328
from_datD5_M40_N60_C30.txt,60,40,30,201,201,606.485,31.618
from_datD6_M40_N60_C30.txt,60,40,30,225,225,775.825,35.656
from_datD7_M40_N60_C30.txt,60,40,30,151,151,644.632,32.994
from_datD8_M40_N60_C30.txt,60,40,30,176,176,584.693,30.985
from_datD9_M40_N60_C30.txt,60,40,30,190,190,696.69,33.654
