group_id,N,M,C,test_count,avg_total_cost,avg_millis_original,avg_millis_our
1,10,10,7,10,31.7,1.7353,0.5734
2,20,15,12,10,47.0,7.4891,1.6912
3,40,30,25,10,111.3,178.5513,14.7123
4,60,40,30,10,190.6,650.1432,32.977
