builder,test,N,M,C,total_cost,millis
PF,from_datA10_M10_N10_C7.txt,10,10,7,32,2.106
PF,from_datA1_M10_N10_C7.txt,10,10,7,40,1.938
PF,from_datA2_M10_N10_C7.txt,10,10,7,29,1.888
PF,from_datA3_M10_N10_C7.txt,10,10,7,29,1.504
PF,from_datA4_M10_N10_C7.txt,10,10,7,31,1.780
PF,from_datA5_M10_N10_C7.txt,10,10,7,29,1.910
PF,from_datA6_M10_N10_C7.txt,10,10,7,36,1.866
PF,from_datA7_M10_N10_C7.txt,10,10,7,30,1.497
PF,from_datA8_M10_N10_C7.txt,10,10,7,32,1.565
PF,from_datA9_M10_N10_C7.txt,10,10,7,29,2.235
PF,from_datB10_M15_N20_C12.txt,20,15,12,63,8.604
PF,from_datB1_M15_N20_C12.txt,20,15,12,36,6.357
PF,from_datB2_M15_N20_C12.txt,20,15,12,45,10.057
PF,from_datB3_M15_N20_C12.txt,20,15,12,47,8.476
PF,from_datB4_M15_N20_C12.txt,20,15,12,49,6.719
PF,from_datB5_M15_N20_C12.txt,20,15,12,42,7.228
PF,from_datB6_M15_N20_C12.txt,20,15,12,54,8.738
PF,from_datB7_M15_N20_C12.txt,20,15,12,45,5.707
PF,from_datB8_M15_N20_C12.txt,20,15,12,45,8.765
PF,from_datB9_M15_N20_C12.txt,20,15,12,44,7.151
PF,from_datC10_M30_N40_C25.txt,40,30,25,120,165.605
PF,from_datC1_M30_N40_C25.txt,40,30,25,130,188.644
PF,from_datC2_M30_N40_C25.txt,40,30,25,103,202.409
PF,from_datC3_M30_N40_C25.txt,40,30,25,134,164.445
PF,from_datC4_M30_N40_C25.txt,40,30,25,105,183.696
PF,from_datC5_M30_N40_C25.txt,40,30,25,112,167.108
PF,from_datC6_M30_N40_C25.txt,40,30,25,106,202.863
PF,from_datC7_M30_N40_C25.txt,40,30,25,100,178.955
PF,from_datC8_M30_N40_C25.txt,40,30,25,100,165.290
PF,from_datC9_M30_N40_C25.txt,40,30,25,103,173.009
PF,from_datD10_M40_N60_C30.txt,60,40,30,190,718.298
PF,from_datD1_M40_N60_C30.txt,60,40,30,212,695.235
PF,from_datD2_M40_N60_C30.txt,60,40,30,174,519.489
PF,from_datD3_M40_N60_C30.txt,60,40,30,189,623.186
PF,from_datD4_M40_N60_C30.txt,60,40,30,198,644.107
PF,from_datD5_M40_N60_C30.txt,60,40,30,201,600.144
PF,from_datD6_M40_N60_C30.txt,60,40,30,225,773.800
PF,from_datD7_M40_N60_C30.txt,60,40,30,151,646.009
PF,from_datD8_M40_N60_C30.txt,60,40,30,176,586.277
PF,from_datD9_M40_N60_C30.txt,60,40,30,190,688.397
