group_id,N,M,C,test_count,avg_total_cost,avg_millis_original,avg_millis_our
1,10,10,7,10,31.7,1.8289,0.5709
2,20,15,12,10,47.0,7.7802,1.6942
3,40,30,25,10,111.3,179.2024,14.7245
4,60,40,30,10,190.6,649.4942,33.051
