builder,test,N,M,C,total_cost,millis
LC,from_datA10_M10_N10_C6.txt,10,10,6,35,0.721
LC,from_datA1_M10_N10_C6.txt,10,10,6,46,0.595
LC,from_datA2_M10_N10_C6.txt,10,10,6,30,0.472
LC,from_datA3_M10_N10_C6.txt,10,10,6,33,0.504
LC,from_datA4_M10_N10_C6.txt,10,10,6,33,0.516
LC,from_datA5_M10_N10_C6.txt,10,10,6,32,0.589
LC,from_datA6_M10_N10_C6.txt,10,10,6,41,0.546
LC,from_datA7_M10_N10_C6.txt,10,10,6,31,0.477
LC,from_datA8_M10_N10_C6.txt,10,10,6,36,0.493
LC,from_datA9_M10_N10_C6.txt,10,10,6,34,0.604
LC,from_datB10_M15_N20_C10.txt,20,15,10,70,1.633
LC,from_datB1_M15_N20_C10.txt,20,15,10,40,1.308
LC,from_datB2_M15_N20_C10.txt,20,15,10,55,1.775
LC,from_datB3_M15_N20_C10.txt,20,15,10,52,1.690
LC,from_datB4_M15_N20_C10.txt,20,15,10,52,1.381
LC,from_datB5_M15_N20_C10.txt,20,15,10,45,1.473
LC,from_datB6_M15_N20_C10.txt,20,15,10,63,1.663
LC,from_datB7_M15_N20_C10.txt,20,15,10,52,1.288
LC,from_datB8_M15_N20_C10.txt,20,15,10,52,1.605
LC,from_datB9_M15_N20_C10.txt,20,15,10,47,1.438
LC,from_datC10_M30_N40_C20.txt,40,30,20,177,11.585
LC,from_datC1_M30_N40_C20.txt,40,30,20,199,12.991
LC,from_datC2_M30_N40_C20.txt,40,30,20,161,13.302
LC,from_datC3_M30_N40_C20.txt,40,30,20,200,12.025
LC,from_datC4_M30_N40_C20.txt,40,30,20,163,12.737
LC,from_datC5_M30_N40_C20.txt,40,30,20,168,12.188
LC,from_datC6_M30_N40_C20.txt,40,30,20,167,13.039
LC,from_datC7_M30_N40_C20.txt,40,30,20,143,12.484
LC,from_datC8_M30_N40_C20.txt,40,30,20,139,11.986
LC,from_datC9_M30_N40_C20.txt,40,30,20,156,12.405
LC,from_datD10_M40_N60_C25.txt,60,40,25,276,30.296
LC,from_datD1_M40_N60_C25.txt,60,40,25,323,29.937
LC,from_datD2_M40_N60_C25.txt,60,40,25,247,26.279
LC,from_datD3_M40_N60_C25.txt,60,40,25,270,28.997
LC,from_datD4_M40_N60_C25.txt,60,40,25,289,29.711
LC,from_datD5_M40_N60_C25.txt,60,40,25,287,27.853
LC,from_datD6_M40_N60_C25.txt,60,40,25,341,30.758
LC,from_datD7_M40_N60_C25.txt,60,40,25,220,29.432
LC,from_datD8_M40_N60_C25.txt,60,40,25,246,27.442
LC,from_datD9_M40_N60_C25.txt,60,40,25,275,30.141
