builder,test,N,M,C,total_cost,millis
PF,from_datA10_M10_N10_C6.txt,10,10,6,35,2.096
PF,from_datA1_M10_N10_C6.txt,10,10,6,46,1.827
PF,from_datA2_M10_N10_C6.txt,10,10,6,30,1.334
PF,from_datA3_M10_N10_C6.txt,10,10,6,33,1.449
PF,from_datA4_M10_N10_C6.txt,10,10,6,33,1.640
PF,from_datA5_M10_N10_C6.txt,10,10,6,32,1.818
PF,from_datA6_M10_N10_C6.txt,10,10,6,41,1.749
PF,from_datA7_M10_N10_C6.txt,10,10,6,31,1.413
PF,from_datA8_M10_N10_C6.txt,10,10,6,36,1.436
PF,from_datA9_M10_N10_C6.txt,10,10,6,34,1.970
PF,from_datB10_M15_N20_C10.txt,20,15,10,70,7.863
PF,from_datB1_M15_N20_C10.txt,20,15,10,40,5.699
PF,from_datB2_M15_N20_C10.txt,20,15,10,55,9.530
PF,from_datB3_M15_N20_C10.txt,20,15,10,52,8.010
PF,from_datB4_M15_N20_C10.txt,20,15,10,52,6.556
PF,from_datB5_M15_N20_C10.txt,20,15,10,45,7.228
PF,from_datB6_M15_N20_C10.txt,20,15,10,63,8.802
PF,from_datB7_M15_N20_C10.txt,20,15,10,52,5.347
PF,from_datB8_M15_N20_C10.txt,20,15,10,52,8.425
PF,from_datB9_M15_N20_C10.txt,20,15,10,47,6.613
PF,from_datC10_M30_N40_C20.txt,40,30,20,177,163.116
PF,from_datC1_M30_N40_C20.txt,40,30,20,199,192.816
PF,from_datC2_M30_N40_C20.txt,40,30,20,161,198.148
PF,from_datC3_M30_N40_C20.txt,40,30,20,200,151.352
PF,from_datC4_M30_N40_C20.txt,40,30,20,163,183.728
PF,from_datC5_M30_N40_C20.txt,40,30,20,168,165.079
PF,from_datC6_M30_N40_C20.txt,40,30,20,167,188.986
PF,from_datC7_M30_N40_C20.txt,40,30,20,143,157.000
PF,from_datC8_M30_N40_C20.txt,40,30,20,139,147.235
PF,from_datC9_M30_N40_C20.txt,40,30,20,156,155.993
PF,from_datD10_M40_N60_C25.txt,60,40,25,276,658.187
PF,from_datD1_M40_N60_C25.txt,60,40,25,323,634.588
PF,from_datD2_M40_N60_C25.txt,60,40,25,247,469.721
PF,from_datD3_M40_N60_C25.txt,60,40,25,270,566.730
PF,from_datD4_M40_N60_C25.txt,60,40,25,289,592.661
PF,from_datD5_M40_N60_C25.txt,60,40,25,287,556.444
PF,from_datD6_M40_N60_C25.txt,60,40,25,341,712.558
PF,from_datD7_M40_N60_C25.txt,60,40,25,220,597.775
PF,from_datD8_M40_N60_C25.txt,60,40,25,246,538.447
PF,from_datD9_M40_N60_C25.txt,60,40,25,275,640.064
