test,N,M,C,total_cost_original,total_cost_our,millis_original,millis_our
from_datA10_M10_N10_C6.txt,10,10,6,35,35,2.096,0.721
from_datA1_M10_N10_C6.txt,10,10,6,46,46,1.827,0.595
from_datA2_M10_N10_C6.txt,10,10,6,30,30,1.334,0.472
from_datA3_M10_N10_C6.txt,10,10,6,33,33,1.449,0.504
from_datA4_M10_N10_C6.txt,10,10,6,33,33,1.64,0.516
from_datA5_M10_N10_C6.txt,10,10,6,32,32,1.818,0.589
from_datA6_M10_N10_C6.txt,10,10,6,41,41,1.749,0.546
from_datA7_M10_N10_C6.txt,10,10,6,31,31,1.413,0.477
from_datA8_M10_N10_C6.txt,10,10,6,36,36,1.436,0.493
from_datA9_M10_N10_C6.txt,10,10,6,34,34,1.97,0.604
from_datB10_M15_N20_C10.txt,20,15,10,70,70,7.863,1.633
from_datB1_M15_N20_C10.txt,20,15,10,40,40,5.699,1.308
from_datB2_M15_N20_C10.txt,20,15,10,55,55,9.53,1.775
from_datB3_M15_N20_C10.txt,20,15,10,52,52,8.01,1.69
from_datB4_M15_N20_C10.txt,20,15,10,52,52,6.556,1.381
from_datB5_M15_N20_C10.txt,20,15,10,45,45,7.228,1.473
from_datB6_M15_N20_C10.txt,20,15,10,63,63,8.802,1.663
from_datB7_M15_N20_C10.txt,20,15,10,52,52,5.347,1.288
from_datB8_M15_N20_C10.txt,20,15,10,52,52,8.425,1.605
from_datB9_M15_N20_C10.txt,20,15,10,47,47,6.613,1.438
from_datC10_M30_N40_C20.txt,40,30,20,177,177,163.116,11.585
from_datC1_M30_N40_C20.txt,40,30,20,199,199,192.816,12.991
from_datC2_M30_N40_C20.txt,40,30,20,161,161,198.148,13.302
from_datC3_M30_N40_C20.txt,40,30,20,200,200,151.352,12.025
from_datC4_M30_N40_C20.txt,40,30,20,163,163,183.728,12.737
from_datC5_M30_N40_C20.txt,40,30,20,168,168,165.079,12.188
from_datC6_M30_N40_C20.txt,40,30,20,167,167,188.986,13.039
from_datC7_M30_N40_C20.txt,40,30,20,143,143,157.0,12.484
from_datC8_M30_N40_C20.txt,40,30,20,139,139,147.235,11.986
from_datC9_M30_N40_C20.txt,40,30,20,156,156,155.993,12.405
from_datD10_M40_N60_C25.txt,60,40,25,276,276,658.187,30.296
from_datD1_M40_N60_C25.txt,60,40,25,323,323,634.588,29.937
from_datD2_M40_N60_C25.txt,60,40,25,247,247,469.721,26.279
from_datD3_M40_N60_C25.txt,60,40,25,270,270,566.73,28.997
from_datD4_M40_N60_C25.txt,60,40,25,289,289,592.661,29.711
from_datD5_M40_N60_C25.txt,60,40,25,287,287,556.444,27.853
from_datD6_M40_N60_C25.txt,60,40,25,341,341,712.558,30.758
from_datD7_M40_N60_C25.txt,60,40,25,220,220,597.775,29.432
from_datD8_M40_N60_C25.txt,60,40,25,246,246,538.447,27.442
from_datD9_M40_N60_C25.txt,60,40,25,275,275,640.064,30.141
