group_id,N,M,C,test_count,avg_total_cost,avg_millis_original,avg_millis_our
1,10,10,6,10,35.1,1.6732,0.5517
2,20,15,10,10,52.8,7.4073,1.5254
3,40,30,20,10,167.3,170.3453,12.4742
4,60,40,25,10,277.4,596.7175,29.0846
